timestamp,target_x,target_y,target_z,actual_j1,target_j1,control_u_j1,actual_j2,target_j2,control_u_j2,actual_j3,target_j3,control_u_j3,actual_j4,target_j4,control_u_j4,actual_j5,target_j5,control_u_j5,actual_j6,target_j6,control_u_j6
244.066,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,-0.0030873750562676566,0.0,0.0,0.008593221407917722,0.0,0.0,0.0005827844582081043,0.0,0.0,-0.007531204494025521,0.0,0.0,0.0018260799858742132,0.0,0.0,-3.5149624873548076e-17
244.08,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070388695308e-05,0.0,-0.002920089940790621,-4.649070388677776e-05,0.0,0.008127609680035675,-4.649070390806937e-05,0.0,0.0005512070964601009,4.649070388378535e-05,0.0,-0.007123136670698463,-4.6490703886766775e-05,0.0,0.0017271363862974881,4.649070388696522e-05,0.0,-3.333465809769978e-17
244.1,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070389205985e-05,0.0,-0.002920089940790621,-4.64907038923918e-05,0.0,0.008127609680035675,-4.6490703924931125e-05,0.0,0.0005512070964601009,4.649070390044397e-05,0.0,-0.007123136670698463,-4.6490703892413354e-05,0.0,0.0017271363862974881,4.6490703892038796e-05,0.0,-3.333465809769978e-17
244.12,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070388678322e-05,0.0,-0.002761696696729769,-4.6490703886614126e-05,0.0,0.00768674707345284,-4.649070390779928e-05,0.0,0.0005213081974980027,4.649070388352464e-05,0.0,-0.006736759280519711,-4.649070388660327e-05,0.0,0.0016334520338593833,4.649070388679452e-05,0.0,-3.159593193977177e-17
244.14,"[0.0, 0.0, 0.0]",0.0,0.0,4.64907038911001e-05,0.0,-0.002761696696729769,-4.649070389141194e-05,0.0,0.00768674707345284,-4.6490703923258486e-05,0.0,0.0005213081974980027,4.649070389884273e-05,0.0,-0.006736759280519711,-4.649070389143244e-05,0.0,0.0016334520338593833,4.649070389108075e-05,0.0,-3.159593193977177e-17
244.16,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070388571642e-05,0.0,-0.0026117852675997754,-4.649070388555431e-05,0.0,0.0072694922606329395,-4.649070390665822e-05,0.0,0.0004930103575314121,4.6490703882488364e-05,0.0,-0.0063710720500522655,-4.649070388554437e-05,0.0,0.001544784393743946,4.649070388572787e-05,0.0,-2.99321313675806e-17
244.18,"[0.0, 0.0, 0.0]",0.0,0.0,4.64907038895077e-05,0.0,-0.0026117852675997754,-4.649070388980093e-05,0.0,0.0072694922606329395,-4.649070392100322e-05,0.0,0.0004930103575314121,4.649070389672848e-05,0.0,-0.0063710720500522655,-4.6490703889819936e-05,0.0,0.001544784393743946,4.649070388948883e-05,0.0,-2.99321313675806e-17
244.2,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703884196315e-05,0.0,-0.0026117852675997754,-4.649070388404137e-05,0.0,0.0072694922606329395,-4.6490703905081796e-05,0.0,0.0004930103575314121,4.6490703881065844e-05,0.0,-0.0063710720500522655,-4.649070388403187e-05,0.0,0.001544784393743946,4.6490703884206974e-05,0.0,-2.99321313675806e-17
244.22,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703873461006e-05,0.0,-0.0024729183523013384,-4.6490703873288e-05,0.0,0.006882978109671572,-4.649070389381951e-05,0.0,0.0004667973211583345,4.6490703870921763e-05,0.0,-0.006032326312289658,-4.6490703873277044e-05,0.0,0.0014626492173858395,4.64907038734731e-05,0.0,-2.83278439755075e-17
244.24,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703883547616e-05,0.0,-0.0024729183523013384,-4.649070388351103e-05,0.0,0.006882978109671572,-4.6490703907003476e-05,0.0,0.0004667973211583345,4.6490703883122914e-05,0.0,-0.006032326312289658,-4.649070388350875e-05,0.0,0.0014626492173858395,4.649070388355041e-05,0.0,-2.83278439755075e-17
244.26,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070387496316e-05,0.0,-0.0023394711397444214,-4.649070387480807e-05,0.0,0.006511548846276267,-4.64907038955478e-05,0.0,0.00044160732806899255,4.6490703872493043e-05,0.0,-0.005706801154821418,-4.649070387479802e-05,0.0,0.001383719615513211,4.649070387497359e-05,0.0,-2.6811598840381788e-17
