timestamp,target_x,target_y,target_z,actual_j1,target_j1,control_u_j1,actual_j2,target_j2,control_u_j2,actual_j3,target_j3,control_u_j3,actual_j4,target_j4,control_u_j4,actual_j5,target_j5,control_u_j5,actual_j6,target_j6,control_u_j6
54.125,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.14,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703839583e-05,0.0,-0.00022250626420895642,-4.649070383950159e-05,0.0,0.00066764179200388,-4.649070385870251e-05,0.0,1.5082798720628657e-05,4.6490703839249196e-05,0.0,-0.0005620776377707042,-4.649070383949637e-05,0.0,0.00013142690186392346,4.649070383958913e-05,0.0,-1.9384952905857666e-17
54.16,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384227059e-05,0.0,-0.00022250626420895642,-4.6490703842221685e-05,0.0,0.00066764179200388,-4.6490703862134935e-05,0.0,1.5082798720628657e-05,4.649070384241861e-05,0.0,-0.0005620776377707042,-4.649070384221855e-05,0.0,0.00013142690186392346,4.6490703842274404e-05,0.0,-1.9384952905857666e-17
54.18,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070383936736e-05,0.0,-0.00018776666231213305,-4.649070383928821e-05,0.0,0.000563403783551773,-4.6490703858447855e-05,0.0,1.2727947913330307e-05,4.6490703839014723e-05,0.0,-0.00047432121164611355,-4.649070383928317e-05,0.0,0.00011090739754127492,4.649070383937273e-05,0.0,-1.6717584983731033e-17
54.2,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384181174e-05,0.0,-0.00018776666231213305,-4.6490703841770406e-05,0.0,0.000563403783551773,-4.649070386177095e-05,0.0,1.2727947913330307e-05,4.6490703842104076e-05,0.0,-0.00047432121164611355,-4.6490703841767635e-05,0.0,0.00011090739754127492,4.649070384181477e-05,0.0,-1.6717584983731033e-17
54.22,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703839746445e-05,0.0,-0.00015870840699784864,-4.649070383968113e-05,0.0,0.0004762129552882547,-4.6490703859079796e-05,0.0,1.0758211586919017e-05,4.649070383961202e-05,0.0,-0.00040091655250936744,-4.649070383967699e-05,0.0,9.374367190934999e-05,4.649070383975119e-05,0.0,-1.438763439471966e-17
54.245,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384140339e-05,0.0,-0.00013328935443407343,-4.649070384135169e-05,0.0,0.0003999417468948993,-4.649070386101569e-05,0.0,9.03516143784425e-06,4.649070384137982e-05,0.0,-0.0003367049586333444,-4.649070384134822e-05,0.0,7.872949988496651e-05,4.649070384140705e-05,0.0,-1.2315908489849658e-17
54.26,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703843280395e-05,0.0,-0.00013328935443407343,-4.649070384330697e-05,0.0,0.0003999417468948993,-4.64907038647965e-05,0.0,9.03516143784425e-06,4.649070384501809e-05,0.0,-0.0003367049586333444,-4.649070384330874e-05,0.0,7.872949988496651e-05,4.6490703843278714e-05,0.0,-1.2315908489849658e-17
54.281,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384186413e-05,0.0,-0.00011215900647088854,-4.6490703841814804e-05,0.0,0.0003365390229419787,-4.6490703861476594e-05,0.0,7.6028244528549295e-06,4.649070384179113e-05,0.0,-0.0002833271500602487,-4.6490703841811836e-05,0.0,6.624852017688299e-05,4.6490703841867585e-05,0.0,-1.0522576213610647e-17
54.3,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384343955e-05,0.0,-0.00011215900647088854,-4.6490703843459946e-05,0.0,0.0003365390229419787,-4.6490703864744386e-05,0.0,7.6028244528549295e-06,4.6490703844941454e-05,0.0,-0.0002833271500602487,-4.6490703843461416e-05,0.0,6.624852017688299e-05,4.64907038434385e-05,0.0,-1.0522576213610647e-17
